TARGET-LEMMA,PoS,SYN,SYN,SYN,SYN,SYN
fuss,NOUN,hassle,bickering,beef,flap,fracas
kill,VERB,finish,murder,slaughter,butcher,slay
dumb,ADJ,slow,dim,foolish,dull,moronic
peek,VERB,look,watch,sight,glimpse,glance
sparkling,ADJ,bright,shining,sunny,glistening,scintillating
,,,,,,
see,VERB,view,watch,spot,glimpse,peek
weird,ADJ,strange,odd,creepy,freaky,spooky
shock,VERB,stun,startle,overwhelm,appall,astound
nasty,ADJ,tough,awful,disgusting,fierce,obnoxious
build,VERB,make,set,craft,assemble,wrought
,,,,,,
need,VERB,miss,hanker,crave,lack,thirst
good,ADJ,right,nice,fine,hunky-dory,sterling
crazy,ADJ,frantic,nutty,hectic,manic,demented
light,NOUN,brightness,glow,glare,shine,gleam
like,VERB,worship,cherish,relish,fancy,praise
,,,,,,
travel,VERB,trip,hike,journey,quest,pilgrimage
empty,ADJ,unfilled,bare,blank,hollow,void
risk,NOUN,danger,threat,hazard,menace,pitfall
skinny,ADJ,thin,bony,lanky,spindly,gaunt
boy,NOUN,child,kid,dude,youngster,lad
,,,,,,
dress,NOUN,wardrobe,garment,apparel,attire,garb
wrong,ADJ,evil,ugly,wicked,vile,horrid
fight,VERB,brawl,struggle,battle,clash,wrestle
bad,ADJ,poor,awful,grim,rotten,woeful
happy,ADJ,glad,merry,jolly,carefree,jubilant
,,,,,,
cut,VERB,carve,chop,slice,trim,saw
complain,VERB,whine,moan,groan,grumble,whimper
breathe,VERB,pant,gasp,puff,snort,wheeze
shit,NOUN,waste,crap,bullshit,muck,dung
cup,NOUN,glass,pot,mug,beaker,chalice
