SOC,Resistance [Ohm]
0.000198555,0.149174807
0.022441415,0.153752855
0.044684275,0.158330903
0.066927135,0.162751629
0.089169995,0.166952103
0.111412855,0.170775004
0.133655715,0.174251796
0.155898575,0.169610754
0.177130395,0.161618032
0.197351177,0.153637182
0.217571959,0.145783239
0.236781702,0.138182396
0.255991444,0.130731533
0.275201187,0.123172993
0.294410929,0.115795197
0.31564275,0.107927285
0.33788561,0.100391511
0.36012847,0.094114317
0.38237133,0.089410346
0.40461419,0.085461522
0.42685705,0.082676884
0.44909991,0.080741787
0.471342769,0.078429116
0.493585629,0.077312094
0.604799929,0.071343122
0.620976554,0.070306773
0.643219414,0.069331342
0.665462274,0.068623359
0.687300718,0.067801818
0.709947994,0.066169065
0.732190854,0.065933049
0.752917155,0.064940816
0.776676573,0.063730472
0.798919433,0.063934958
0.821162293,0.063950658
0.843405153,0.063934893
0.865648013,0.064170844
0.887890873,0.065193407
0.910639252,0.068224809
0.923132807,0.077372558
0.92948791,0.085139778
