SOC,OCV [V]
0.001504867,5.854411326
0.016478974,5.870829346
0.03145308,5.890035804
0.046427187,5.908191908
0.061401294,5.926047912
0.076375401,5.942553462
0.091349508,5.95860886
0.106323615,5.979640931
0.121297721,5.993970749
0.136271828,6.004374247
0.151245935,6.014052501
0.196622017,6.054403568
0.211142363,6.069946294
0.226116469,6.08195033
0.241090576,6.093054064
0.256064683,6.104457898
0.27103879,6.11526153
0.286012897,6.125464961
0.300873563,6.135005669
0.31596111,6.144221267
0.330935217,6.153374345
0.345909324,6.161327019
0.360883431,6.169579794
0.375857538,6.177232367
0.390831645,6.184734889
0.405465431,6.191812269
0.420779858,6.200040035
0.435753965,6.207242457
0.450954952,6.215837013
0.465702179,6.229674999
0.480676286,6.234576647
0.495990713,6.237179606
0.510624499,6.243579674
0.525598606,6.247756079
0.540572713,6.252107542
0.55554682,6.256083879
0.570520927,6.25998519
0.585495034,6.263786468
0.60046914,6.268769394
0.615443247,6.278516421
0.630417354,6.286168994
0.645391461,6.290820558
0.660365568,6.29472187
0.675339675,6.298623181
0.690313782,6.302524493
0.704834128,6.30831394
0.720261995,6.309126713
0.735236102,6.312277772
0.750210209,6.31497868
0.765184316,6.317079387
0.780158423,6.319180093
0.795132529,6.322481203
0.810106636,6.322781304
0.825080743,6.325482212
0.84005485,6.325782313
0.855028957,6.327732969
0.870003064,6.329083423
0.88497717,6.329083423
0.899951277,6.331834348
0.914925384,6.33133418
0.929899491,6.332384533
0.944873598,6.332384533
0.959847705,6.332384533
0.974821812,6.332234482
0.989795918,6.330433877
